activity_var	p	cos	sin	corrected_inter_personal	corrected_intra_personal	corrected_intra_personal_normalized	amplitude	inter_personal_std	std_amplitude	intra_personal_normalized
main_sleep_onset_mean	0.2383636402232655	0.0057518965967782	-0.0251249582994546	0.9468084326030812	0.34292685065735	0.3621924339166833	0.0257749460525015	0.9731284942998676	0.0264866831086327	0.3627584887081456
main_sleep_offset_mean	1.0680299553510004e-20	0.1473195770760186	-0.0362012075389834	0.811390180185915	0.3973011114747211	0.4896548185777734	0.1517022914037146	0.901975766269956	0.1681888772145914	0.504434065242044
num_wakings_mean	0.0579333822506313	0.0255642813232751	-0.0161837946949424	0.6173910585953275	0.3109298112528786	0.5036189088327555	0.0302563661120036	0.7857174407180154	0.0385079476972718	0.505026732936018
WASO_mean	0.0382892161549487	0.0068913328188146	-0.0016966330408852	0.0281360620581808	0.016625005394716	0.5908788998381583	0.007097114321687	0.1677873099591864	0.0422982782393576	0.5915655512427862
acceleration_during_main_sleep_mean	0.588219136252681	0.0064796955757885	0.0022592471072708	0.1660230682840145	0.0879804282829417	0.5299289381427059	0.0068622629100469	0.4074489433740232	0.0168420191575944	0.5302476603355996
sleep_peak_time_mean	4.366161171310735e-08	0.0705265688646644	-0.0306499225151753	0.6748512491627865	0.2997474836376458	0.4441682281977094	0.0768987299375516	0.8220640321186091	0.0935434795016753	0.4492461446073602
sleep_peak_quality_mean	1.54560121096907e-09	0.0060353812794584	-0.0004996137652058	0.0038329952396095	0.0012058347539502	0.3145933346040477	0.0060560251900747	0.0619662037921611	0.0977310988807235	0.3190778460747935
other_sleep_mean	0.0001936872593323	0.0377954399548471	0.0028049143060491	0.3133935353954357	0.154206673586882	0.4920544177540426	0.0378993776419182	0.560061341672518	0.0676700475857499	0.494226415201219
main_sleep_duration_mean	2.387452406815609e-18	0.1415676804792409	-0.0110762492395293	0.8951950353478121	0.521794785782802	0.5828839137608354	0.142000322018961	0.947380255271959	0.1498873564535053	0.5947969822264388
total_sleep_mean	5.739830379898063e-22	0.1724523194886789	-0.0065738109642854	1.122322848015731	0.5827320438824306	0.5192196210855923	0.1725775694799864	1.0610554527707858	0.1626470784626064	0.5333516641172058
main_sleep_ratio_mean	0.4279209227017962	-0.0003769651366919	0.0002379026923625	0.0004527666431945	0.0002140336718034	0.4727240290788932	0.0004457582363956	0.0212794947266184	0.0209477829301093	0.4730150431792539
light_mean_mean	0.0	-23.75139797815149	1.8150719158878093	326.56971496184553	576.590253591753	1.7655962178217242	23.820650536380896	18.939719661136216	1.2577087181105544	2.636369102496266
light_90th_mean	0.0	-79.09068159070226	6.186843141841807	2341.514966067001	4181.174262364413	1.7856705265426742	79.33229444900485	51.16300870766114	1.5505791479601871	3.185736725224462
light_10th_mean	0.3488532385360444	-0.2616792762698383	-0.1332349148292377	140.8351280034232	193.7362933044696	1.3756247894329356	0.2936453407746505	11.87141307713327	0.0247355002194532	1.3748086934836812
temp_mean_mean	5.295035376286684e-72	-0.5380985763715455	-0.0669533072962142	1.5891535543556032	3.813967523864727	2.3999993665881325	0.5422479352205827	1.2732321651167595	0.4258830008200874	2.4649948622477926
temp_90th_mean	0.0008344557632929	-0.0469561473237249	0.1028434708537405	1.6744809473339148	3.926149686512414	2.3446965417931898	0.1130560005870167	1.294300963011287	0.0873490817189718	2.3486535301608398
temp_10th_mean	1.937576381483866e-198	-0.9948534020517572	-0.2306174689588871	2.307296791893386	4.313987754117921	1.86971514426535	1.0212334251105175	1.5520238998393672	0.6580010947100841	2.0616729610258115
light_while_main_sleep_mean	0.0148995904143766	-0.5781910304563513	-0.1113733462582058	141.54349652350956	194.7953172908784	1.376222306748823	0.5888199130098503	11.906857005128026	0.0494521696830875	1.3746413871660823
temp_while_main_sleep_mean	0.0277723341305084	-0.031111803284977	0.0775113956402422	2.054552631676579	3.9166884047214423	1.9063461039327585	0.0835222171505359	1.4338092253023835	0.0582519736075219	1.9069219301770892
walking_peak_time_mean	7.0233235646397215e-25	-0.2740435293039112	-0.0602075957466165	2.03240677554074	2.350143452862624	1.156335179131327	0.2805794193074959	1.4284320595421196	0.1964247563845878	1.1777020851153162
walking_peak_value_mean	0.0020907243305654	-0.0043724614547486	0.0038104127295004	0.0102124299602879	0.005325424474463	0.5214649691769176	0.0057997986467119	0.1010564264968631	0.0573916854945589	0.5234453933638173
sedentary_peak_time_mean	3.704158989441771e-07	0.1771388492769605	-0.0112950702380365	3.460435364399125	3.0292485153235447	0.8753952021437476	0.1774985930503335	1.8612415456122775	0.0953656947260669	0.8802211272773965
sedentary_peak_value_mean	1.5927630461046028e-10	0.0060841824603521	-0.0025992505540514	0.0037282029585591	0.0018005588163666	0.4829562221748006	0.0066161453773019	0.0610891909653448	0.108303044659	0.4896586031103253
moderate_peak_time_mean	0.328107032320352	-0.0147328936136005	0.0420855029251595	2.601816569696399	3.048368735885616	1.1716309179479645	0.0445897713684796	1.6135074625656676	0.0276353053227139	1.1709888101365875
moderate_peak_value_mean	0.1159379436593422	3.225021943346475e-05	-0.0033897726354643	0.0105281503341905	0.0044831153467796	0.4258217449859729	0.0033899260459185	0.1026124885157561	0.0330361936929146	0.4263121978090588
acceleration_peak_time_mean	1.5528142114094175e-16	-0.2308422226119361	-0.0312117218906054	2.3253624049994097	2.114561999856066	0.9093472893987906	0.2329427039505534	1.5274562565176708	0.1525036824829416	0.9198480352495662
acceleration_peak_value_mean	0.0007598504729664	-1.981040348405389	0.5558832054929077	1190.7211612553651	337.6404512853976	0.2835596294681004	2.057553644539849	34.50303407069489	0.0596339916172018	0.2868176806828908
tasks_light_peak_time_mean	0.0277958115486575	-0.0756834332024794	-0.0315283643214804	2.4161461608224424	3.763743251184159	1.5577465106262456	0.0819879248310516	1.55418075521133	0.0527531463480921	1.5620938623580214
tasks_light_peak_value_mean	0.0003148266456509	-0.0050504525587779	0.0005440098671941	0.0049538245876647	0.0045678734659472	0.9220902729017604	0.0050796670938232	0.070386569221715	0.072168130226983	0.925424393923148
MET_peak_time_mean	5.0248593690552426e-05	-0.1248909170249824	-0.0166592009622076	2.5078295948740545	2.3230338687151857	0.9263124868864347	0.1259971036652838	1.5843211105048585	0.0795275041340159	0.929720335208372
MET_peak_value_mean	0.1562869274202329	-0.0090290324236035	-0.0057725613503181	0.1182260859330014	0.0526754042039412	0.44554806824775	0.0107166175190529	0.3438743516599074	0.0311643408917326	0.4456909872604813
temp_peak_time_mean	7.594690508912664e-14	-0.3684599321773164	-0.0236026387438934	5.92237736168094	9.14744194680626	1.5445557397257703	0.3692151218135401	2.436545408774168	0.1515322146199168	1.573019057482951
temp_peak_value_mean	0.0018919653898305	-0.0644673526323367	0.0824850965784941	1.6288596990203688	3.763257810319315	2.310363386473752	0.1046892101077544	1.2767984023427863	0.0819935315674433	2.312552616029945
light_peak_time_mean	1.077326180424613e-12	-0.1867880908169643	0.0929086496316754	1.539572068854252	3.4077904583229195	2.213466019073075	0.2086188103873376	1.242300698322396	0.1679293995962947	2.2331919717837927
